origem;dataset;titulo_base;modulo;tabela_python;coluna_python;tipo;obrigatoria;valor_padrao_se_ausente;faz_parte_da_chave_unica;cabecalhos_aceitos_na_planilha;descricao
Excel (upload);metas;Metas;METAS;metas;ano;inteiro;sim;;sim;ano | exercicio;Ano da meta
Excel (upload);metas;Metas;METAS;metas;mes;inteiro;sim;;sim;mes | mes numero | num mes;Mês da meta (1 a 12)
Excel (upload);metas;Metas;METAS;metas;modulo;texto;sim;;sim;modulo | indicador | area | tipo meta;Módulo: TERMOS, VENDA ou IMPLANTACAO
Excel (upload);metas;Metas;METAS;metas;segmento;texto;não;TOTAL;sim;segmento | tipo | frente | categoria;Segmento: TOTAL, SERVICOS, VCG, COMERCIAL ou OUTROS
Excel (upload);metas;Metas;METAS;metas;cidade;texto;não;;sim;cidade | municipio;Cidade da meta (vazio = meta geral)
Excel (upload);metas;Metas;METAS;metas;equipe;texto;não;;sim;equipe | recurso;Equipe da meta (vazio = meta geral)
Excel (upload);metas;Metas;METAS;metas;valor_meta;numero;sim;;não;valor_meta | meta | valor | quantidade meta | meta mes;Valor da meta
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;data;data;sim;;sim;data | data da atividade | dt atividade | data atividade | data execucao | data da execucao | data do termo | data venda | data da venda | data implantacao | data da implantacao | data base | dt | competencia;Data do registro (base para mês, dia útil e acumulados)
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;cidade;texto;não;;não;cidade | municipio | cidade cliente | d_cadastro cidade | cidade_cadastro | localidade | interior cidade;Cidade / município do registro
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;equipe;texto;não;;sim;equipe | recurso | time | turma | equipe recurso | nome da equipe | colaborador;Equipe / recurso responsável
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;frente;texto;não;;não;frente | canal | segmento | frente de trabalho | tipo de frente | origem;Frente de atuação (Comercial, VCG, Serviços, VCG Rio Bonito, VCG SFI)
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;matricula;texto;não;;sim;matricula | matricula cliente | contrato | codigo cliente | cod cliente | inscricao;Matrícula / identificador do cliente ou contrato
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;tipo;texto;não;;sim;tipo | tipo termo | tipo de termo | categoria | tipo servico | grupo | produto;Classificação Serviços x VCG do termo
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;setor;texto;não;;não;setor | setor do recurso | setor recurso | area | gerencia;Setor do Recurso (PBIX: Setor do Recurso.Setor do Recurso)
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;status_termo;texto;não;;não;status_termo | status | situacao termo | status do termo;Status do termo (PBIX: Termos.Status Termo)
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;quantidade;numero;não;1.0;não;quantidade | qtd | qtde | quantidade realizada | volume | total;Quantidade do registro (1 quando cada linha é um evento)
Excel (upload);termos;Termos Aplicados;TERMOS;fato_termos;valor;numero;não;;não;valor | valor total | vlr | valor faturado | receita | valor r$;Valor financeiro em reais, quando disponível
Excel (upload);faturamento;Faturamento de Termos;TERMOS;fato_faturamento;data;data;sim;;sim;data | inicio do mes | inicio mes | data faturamento | mes referencia | competencia | data;Data de referência (PBIX: Faturamento Termos.Início do Mês)
Excel (upload);faturamento;Faturamento de Termos;TERMOS;fato_faturamento;cidade;texto;não;;sim;cidade | municipio | cidade cliente | d_cadastro cidade | cidade_cadastro | localidade | interior cidade;Cidade / município do registro
Excel (upload);faturamento;Faturamento de Termos;TERMOS;fato_faturamento;situacao;texto;sim;;sim;situacao | situacao do termo | status faturamento | status | situacao termo;Situação do faturamento: Negociação, Aguardando, Faturado ou Cancelado
Excel (upload);faturamento;Faturamento de Termos;TERMOS;fato_faturamento;numero_termo;texto;não;;sim;numero_termo | termo | num termo | nº termo | numero do termo | protocolo;Número/identificador do termo
Excel (upload);faturamento;Faturamento de Termos;TERMOS;fato_faturamento;quantidade;numero;não;1.0;não;quantidade | qtd | qtde | quantidade realizada | volume | total;Quantidade do registro (1 quando cada linha é um evento)
Excel (upload);faturamento;Faturamento de Termos;TERMOS;fato_faturamento;valor;numero;não;;não;valor | valor total | vlr | valor faturado | receita | valor r$;Valor financeiro em reais, quando disponível
Excel (upload);vendas;Venda;VENDA;fato_vendas;data;data;sim;;sim;data | data da atividade | dt atividade | data atividade | data execucao | data da execucao | data do termo | data venda | data da venda | data implantacao | data da implantacao | data base | dt | competencia;Data do registro (base para mês, dia útil e acumulados)
Excel (upload);vendas;Venda;VENDA;fato_vendas;cidade;texto;não;;não;cidade | municipio | cidade cliente | d_cadastro cidade | cidade_cadastro | localidade | interior cidade;Cidade / município do registro
Excel (upload);vendas;Venda;VENDA;fato_vendas;equipe;texto;não;;sim;equipe | recurso | time | turma | equipe recurso | nome da equipe | colaborador;Equipe / recurso responsável
Excel (upload);vendas;Venda;VENDA;fato_vendas;frente;texto;sim;;sim;frente | canal | canal de venda | origem da venda | segmento | tipo de venda | origem;Canal da venda: Comercial, VCG ou Outros Canais
Excel (upload);vendas;Venda;VENDA;fato_vendas;matricula;texto;não;;sim;matricula | matricula cliente | contrato | codigo cliente | cod cliente | inscricao;Matrícula / identificador do cliente ou contrato
Excel (upload);vendas;Venda;VENDA;fato_vendas;quantidade;numero;não;1.0;não;quantidade | qtd | qtde | quantidade realizada | volume | total;Quantidade do registro (1 quando cada linha é um evento)
